"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
16,"control","incongruent","yellow","red",1,"red",1,1198,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","yellow","yellow",2,"yellow",1,664,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","blue","blue",3,"blue",1,509,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","yellow","yellow",4,"yellow",1,786,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","blue","blue",5,"blue",1,559,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","red","red",6,"red",1,488,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","incongruent","red","yellow",7,"yellow",1,491,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","red","red",8,"red",1,634,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","incongruent","yellow","blue",9,"blue",1,460,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","red","red",10,"red",1,706,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","incongruent","blue","yellow",11,"yellow",1,472,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","yellow","yellow",12,"yellow",1,665,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","blue","blue",13,"blue",1,1001,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","incongruent","blue","red",14,"red",1,811,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","incongruent","red","blue",15,"blue",1,778,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","yellow","yellow",16,"yellow",1,499,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","red","red",17,"red",1,910,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
16,"control","congruent","blue","blue",18,"blue",1,757,1,1.3,1.2,1.1,3.9,1.1,0.25,2,2.11111111111111,1.46153846153846,2.4
