"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
11,"control","congruent","blue","blue",1,"blue",1,1239,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","yellow","yellow",2,"yellow",1,1390,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","yellow","yellow",3,"yellow",1,895,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","blue","blue",4,"blue",1,738,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","incongruent","red","blue",5,"blue",1,3504,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","red","red",6,"red",1,937,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","incongruent","blue","yellow",7,"yellow",1,1087,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","incongruent","blue","red",8,"red",1,704,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","red","red",9,"red",1,719,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","congruent","red","red",10,"red",1,1021,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
11,"control","incongruent","yellow","blue",11,"yellow",0,1409,1,4.4,1.7,3.6,3.5,3,0.333333333333333,3.33333333333333,2.55555555555556,2.53846153846154,3.5
