"pNo","condition","congruency","wordShown","correctResp","trialnum","resp","acc","rt","include","mentaldemand","effort","frustration","bored","fatigue","acs","implicitWillpower","bigFiveCon","bsc","srsq"
13,"control","congruent","red","red",1,"red",1,1215,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","red",2,"red",1,1441,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",3,"red",1,1024,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",4,"blue",1,1848,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",5,"yellow",1,647,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",6,"yellow",1,582,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",7,"blue",1,992,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","blue",8,"blue",1,1143,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","yellow",9,"yellow",1,1097,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",10,"blue",1,810,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",11,"yellow",1,949,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","red",12,"red",1,911,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",13,"blue",1,641,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",14,"red",1,1059,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","yellow",15,"yellow",1,1082,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",16,"red",1,888,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","blue",17,"blue",1,1040,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",18,"yellow",1,1105,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",19,"red",1,750,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","blue",20,"blue",1,580,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","yellow",21,"yellow",1,963,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",22,"yellow",1,915,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",23,"yellow",1,540,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",24,"blue",1,898,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",25,"red",1,428,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","red",26,"red",1,863,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",27,"blue",1,717,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",28,"red",1,890,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","blue",29,"blue",1,851,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",30,"yellow",1,620,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","red",31,"blue",0,1077,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",32,"blue",1,818,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",33,"yellow",1,948,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",34,"blue",1,831,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",35,"red",1,818,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","yellow",36,"yellow",1,931,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",37,"yellow",1,718,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","red",38,"red",1,734,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","yellow",39,"yellow",1,829,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",40,"blue",1,721,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",41,"red",1,557,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",42,"red",1,843,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",43,"blue",1,711,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","blue",44,"blue",1,916,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",45,"yellow",1,539,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","yellow",46,"yellow",1,1249,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","blue",47,"blue",1,861,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",48,"blue",1,828,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",49,"yellow",1,621,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",50,"red",1,773,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","red",51,"red",1,758,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",52,"red",1,742,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",53,"blue",1,614,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",54,"yellow",1,555,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","yellow",55,"yellow",1,941,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",56,"yellow",1,725,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",57,"red",1,581,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",58,"yellow",1,754,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",59,"blue",1,659,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",60,"blue",1,710,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",61,"red",1,956,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","red",62,"red",1,642,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","blue",63,"blue",1,725,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",64,"yellow",1,474,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","blue",65,"blue",1,2075,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",66,"blue",1,810,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","red",67,"red",1,581,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",68,"blue",1,750,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",69,"yellow",1,519,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",70,"red",1,624,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",71,"red",1,611,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","red","yellow",72,"yellow",1,603,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",73,"blue",1,427,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","blue","yellow",74,"yellow",1,738,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",75,"red",1,421,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","red","red",76,"red",1,609,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","red",77,"red",1,705,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","incongruent","yellow","blue",78,"blue",1,789,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",79,"yellow",1,529,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",80,"blue",1,899,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","yellow","yellow",81,"yellow",1,756,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
13,"control","congruent","blue","blue",82,"blue",1,849,1,2.5,2.9,1.5,3.3,1.4,0.583333333333333,3.66666666666667,3.88888888888889,2.92307692307692,3.4
